t,theta
0.00000000,0.50000000
0.00100000,0.49999765
0.00300000,0.49997884
0.14415056,0.45186409
0.25814498,0.35075859
0.36078443,0.22220858
0.46366699,0.07073730
0.56020962,-0.07830958
0.65424884,-0.21678787
0.74907300,-0.33765726
0.84769354,-0.43249391
0.95364101,-0.49000695
1.07277097,-0.49320015
1.20641665,-0.41942589
1.31557550,-0.30606400
1.42544107,-0.15681912
1.52534531,-0.00473617
1.62034456,0.14053351
1.71435584,0.27223346
1.81045876,0.38289040
1.91177891,0.46304229
2.02247702,0.49944629
2.15152276,0.46990878
