t,theta
0.00000000,0.10000000
0.00100000,0.10000000
0.00200000,0.09999951
0.00300000,0.09999804
0.00400000,0.09999559
0.00500000,0.09999217
0.00600000,0.09998776
0.00700000,0.09998237
0.00800000,0.09997601
0.00900000,0.09996866
0.01000000,0.09996034
0.01100000,0.09995104
0.01200000,0.09994075
0.01300000,0.09992949
0.01400000,0.09991725
0.01500000,0.09990404
0.01600000,0.09988984
0.01700000,0.09987467
0.01800000,0.09985851
0.01900000,0.09984138
0.02000000,0.09982328
0.02100000,0.09980419
0.02200000,0.09978413
0.02300000,0.09976309
0.02400000,0.09974107
0.02500000,0.09971807
0.02600000,0.09969410
0.02700000,0.09966916
0.02800000,0.09964323
0.02900000,0.09961633
0.03000000,0.09958846
0.03100000,0.09955961
0.03200000,0.09952978
0.03300000,0.09949898
0.03400000,0.09946721
0.03500000,0.09943446
0.03600000,0.09940074
0.03700000,0.09936604
0.03800000,0.09933037
0.03900000,0.09929373
0.04000000,0.09925611
0.04100000,0.09921753
0.04200000,0.09917797
0.04300000,0.09913744
0.04400000,0.09909594
0.04500000,0.09905347
0.04600000,0.09901002
0.04700000,0.09896561
0.04800000,0.09892023
0.04900000,0.09887388
0.05000000,0.09882657
0.05100000,0.09877828
0.05200000,0.09872903
0.05300000,0.09867881
0.05400000,0.09862762
0.05500000,0.09857547
0.05600000,0.09852235
0.05700000,0.09846827
0.05800000,0.09841322
0.05900000,0.09835721
0.06000000,0.09830024
0.06100000,0.09824230
0.06200000,0.09818340
0.06300000,0.09812354
0.06400000,0.09806272
0.06500000,0.09800093
0.06600000,0.09793819
0.06700000,0.09787449
0.06800000,0.09780983
0.06900000,0.09774421
0.07000000,0.09767763
0.07100000,0.09761010
0.07200000,0.09754161
0.07300000,0.09747217
0.07400000,0.09740177
0.07500000,0.09733042
0.07600000,0.09725811
0.07700000,0.09718486
0.07800000,0.09711065
0.07900000,0.09703548
0.08000000,0.09695937
0.08100000,0.09688231
0.08200000,0.09680430
0.08300000,0.09672534
0.08400000,0.09664544
0.08500000,0.09656458
0.08600000,0.09648279
0.08700000,0.09640004
0.08800000,0.09631636
0.08900000,0.09623172
0.09000000,0.09614615
0.09100000,0.09605964
0.09200000,0.09597218
0.09300000,0.09588378
0.09400000,0.09579445
0.09500000,0.09570417
0.09600000,0.09561296
0.09700000,0.09552081
0.09800000,0.09542773
