method,theta0,h,T_num,T_ana,steps,time_s,error
constant,0.10,0.0100,2.00732141,2.00606668,101,0.000014,0.00125473
constant,0.10,0.0010,2.00732119,2.00606668,1004,0.000072,0.00125451
constant,0.10,0.0001,2.00732119,2.00606668,10037,0.000719,0.00125451
adaptive,0.10,0.0100,2.00677801,2.00606668,8,0.000010,0.00071133
constant,0.50,0.0100,2.03786771,2.00606668,102,0.000010,0.03180103
constant,0.50,0.0010,2.03786792,2.00606668,1019,0.000087,0.03180123
constant,0.50,0.0001,2.03786792,2.00606668,10190,0.000852,0.03180123
adaptive,0.50,0.0100,2.03785714,2.00606668,11,0.000006,0.03179046
constant,1.00,0.0100,2.13913755,2.00606668,107,0.000010,0.13307086
constant,1.00,0.0010,2.13913760,2.00606668,1070,0.000093,0.13307092
constant,1.00,0.0001,2.13913760,2.00606668,10696,0.000899,0.13307092
adaptive,1.00,0.0100,2.13894045,2.00606668,12,0.000005,0.13287377
